country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,3.5,3.99,5.53,6.12,6.92,7.46,8.15,7.96,10.3,8.26,9.73,9.99,9.68,7.96,6.74,12,10.1,8.67,9.15,4.68,5.4,8.47,10,10.7,12.3,16,14.4,13.9,20.2,19.7,18.3,17.9,18.8,20.7,20.3,14,15.5,19.3,21.9,23.3,22.1,25.4,26.1,24.5,
Algeria,,,,,,,,,,,,0.819,1.06,1.34,0.824,0.511,0.531,0.328,0.248,0.228,0.197,0.258,0.26,0.118,0.229,0.313,0.107,0.217,0.0753,0.0938,0.04,0.0782,0.0534,0.0886,0.0432,0.0504,0.036,0.019,0.0518,0.0465,0.0126,0.0162,0.0127,0.0569,0.0524,0.116,0.0406,0.0397,0.0486,0.0468,0.0273,0.0723,0.0827,0.043,0.0301,
Angola,,,,,,,,,,,,1.35,1.41,1.69,1.75,1.98,0.904,0.917,1.03,1.07,1.12,1.11,1.2,1.07,1.1,1.21,1.19,1.17,1.12,1.11,0.742,0.739,0.802,0.821,0.814,0.818,0.817,0.95,1.1,0.88,0.873,0.934,1,1.03,1.18,1.61,2.06,1.78,2.15,1.95,2.25,2.35,2.02,2.55,2.55,
Argentina,,,,,,,,,,,,0.395,0.378,0.724,1.93,3.07,2.96,2.42,3.65,3.94,4.57,4.89,4.87,5.91,6.74,7.93,7.51,7.7,5.86,5.22,6.77,6.57,6.39,7.26,7.61,6.94,6.43,7.24,6.76,5.71,6.03,7.75,7.41,7.43,6.44,6.42,6.77,5.77,5.43,6.19,5.68,5.86,5.57,5.67,5.5,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,1.48,4.39,10.2,12.5,10.3,38.2,27,25.9,33.1,29.2,28.3,36.4,32,32.8,32.2,31.6,27.8,25.7,30.2,32.5,29.9,24.6,25.7,25.7,
Australia,1.09,1.22,1.24,1.58,1.57,1.81,1.47,1.5,1.45,1.55,1.5,1.93,1.87,1.72,1.93,2.1,2.1,1.72,1.81,1.96,1.63,1.76,1.64,1.54,1.5,1.69,1.8,1.61,1.69,1.58,1.27,1.44,1.36,1.4,1.39,1.33,1.23,1.28,1.17,1.2,1.18,1.23,1.21,1.22,1.18,1.13,1.17,1.17,1.05,1.12,1.34,1.67,1.72,2.14,2.37,2.15
Austria,8.96,8.75,8.34,7.47,8.16,10,10.5,10.6,10.1,8.64,9.88,7.41,7.28,7.51,9.2,10,7.94,9.96,9.63,10,10.7,12.1,12.4,12.2,11.1,11.5,11.5,12.9,12.7,12.7,9.59,9.28,10.7,11,10.7,10.3,9.6,9.97,10.2,10.8,11.3,10.5,10.5,9.01,9.58,9.36,9.91,10.6,10.5,11,10.1,10.2,12,12.3,13.2,12.2
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.465,0.594,0.9,0.755,0.725,0.809,0.942,1.06,0.925,0.902,0.777,1.16,1.35,1.44,1.52,1.31,1.22,1.04,1.08,1.67,1.2,0.766,0.661,0.572,
Bahrain,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,,,,,,,,,,,,0.265,0.256,0.448,0.318,0.557,0.594,0.513,0.574,0.641,0.597,0.627,0.497,0.614,0.82,0.639,0.363,0.424,0.504,0.654,0.363,0.338,0.35,0.28,0.379,0.156,0.312,0.295,0.338,0.319,0.279,0.344,0.257,0.248,0.244,0.237,0.226,0.219,0.25,0.106,0.174,0.199,0.167,0.218,0.153,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038,0.00362,0.00374,0.00489,0.00543,0.00706,0.00582,0.00732,0.0113,0.00691,0.00969,0.0111,0.00988,0.00933,0.00953,0.0106,0.00972,0.01,0.0109,0.017,0.0164,0.0184,0.0307,0.0662,0.0539,
Belgium,0.0641,0.0688,0.0581,0.0871,0.0818,0.0793,0.0938,0.147,0.107,0.0682,0.0902,0.0291,0.0422,0.075,0.131,4.21,5.78,6.94,6.91,6.11,7.04,7.77,9.91,15.4,17,20.5,22.5,23.5,23.8,22.6,23.3,22.4,22.5,22.2,20.3,20.3,20.2,22.1,21.2,22.4,21.7,21,22.3,21.5,21.3,21.5,21.3,22.4,20.6,22.4,21.2,23.2,20.7,21.4,18.6,15.1
Benin,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391,0.0287,0.036,0.0412,0.0538,0.0601,0.0438,0.0232,0.0189,0,0,0,0,0,0,0,0,0,
Bolivia,,,,,,,,,,,,7.57,7.23,7.01,6.96,6.24,5.97,5.9,5.76,5.34,3.74,3.87,3.65,3.84,3.92,3.9,4.02,4.13,4.34,4.09,3.03,3.55,3.24,3.61,2.93,2.53,2.65,2.68,2.63,3.09,3.05,4.29,3.67,3.14,3.41,2.84,2.47,3.25,3.32,3.15,2.65,2.62,2.25,2.42,1.97,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.32,3.87,4.67,16.8,17.2,14.3,8.25,7.41,7.68,5.66,6.32,6.47,5.63,6.21,6.28,5.55,4.27,4.73,5.21,6.43,3.73,4.27,6.04,4.27,
Botswana,,,,,,,,,,,,,,,,,,,,,,0.00636,0.015,0.0269,0.0352,0.0444,0.0405,0.0484,0.0433,0.0365,0.0411,0.0442,0.0568,0.0566,0.0592,0.0346,0.0355,0.0338,0.03,0.029,0.0279,0.0276,0.0272,0.0272,0.00791,0.00766,0,0,0,0,0,0,0,0.00347,0.00317,
Brazil,,,,,,,,,,,,5.32,5.83,6.07,6.47,6.82,7.46,8.14,8.4,8.97,9.74,10.3,10.9,11.4,12.2,12.5,11.6,11.5,12.1,12.4,12.4,12.4,12.6,12.7,12.5,13,12.8,12.9,13.2,12.9,13.7,13,13.2,13.8,13.2,13.3,13.7,13.6,12.9,13.8,12.7,13.5,12.7,11.5,10.8,
