country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,0.00569,0.00521,0.00346,0.00243,0.0021,0.00163,0.00137,0.000806,0.000716,0.000534,0.000656,0.000654,0.000984,0.000798,0.000843,0.000787,0.000868,0.00259,0.00211,0.00214,
Argentina,,,0.0147,0.0309,0.0624,0.0514,0.0177,0.0115,0.0133,0.0148,0.023,0.0143,0.0128,0.0202,0.0417,0.0256,0.0982,0.0814,0.186,0.143,0.146,0.164,0.202,0.152,0.197,0.161,0.124,0.17,0.274,0.247,0.239,0.22,0.198,0.11,0.137,0.151,0.0822,0.0627,0.0962,0.114,0.0944,0.114,0.169,0.0885,0.0876
Australia,,,,,0.289,0.398,0.308,0.214,0.305,0.258,0.33,0.655,0.816,0.584,0.469,0.347,0.445,0.416,0.656,0.679,0.668,0.781,0.681,0.825,1.1,0.898,0.991,0.963,1.26,1.27,1.16,1.47,1.52,0.649,1.36,1.27,0.858,0.897,0.867,0.878,0.878,1.05,1.13,0.881,1.07
Austria,0.0325,0.0349,0.0289,0.281,0.0281,0.0238,0.0223,0.0212,0.0212,0.0219,0.0663,0.0672,0.0639,0.0752,0.182,0.158,0.139,0.101,0.138,0.142,0.127,0.135,0.173,0.0119,0.152,0.152,0.128,0.157,0.216,0.292,0.4,0.574,0.608,0.177,0.285,0.322,0.198,0.259,0.274,0.219,0.252,0.306,0.36,0.256,0.298
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.000684,0.000703,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,0.772,1.23,1.09,1.08,0.731,0.735,0.78,0.869,1.03,1.09,1.14,1.25,0.776,0.709,0.78,0.577,,,0.661,0.618,0.601,0.613,0.581,0.697
Bangladesh,,,,,,,,,,,,,,,,,,,0.014,0.0302,0.0508,0.159,0.0574,0.0406,0.0305,0.0411,0.0181,0.272,,,0.0475,0.0536,0.11,0.128,0.204,0.361,0.371,,,,,0.318,0.345,0.282,
Barbados,,,,,,,,,,,,,,,,,,,0.158,0.239,0.222,0.324,0.454,0.622,0.69,0.558,0.602,,,,,,,,,0.483,0.981,,,,,0.641,0.673,0.696,0.652
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Belgium,0.137,0.132,0.124,0.124,0.118,0.0791,0.0799,0.093,0.124,0.148,0.242,0.311,0.279,0.362,0.456,0.319,0.338,0.273,0.347,0.344,0.352,0.426,0.542,0.944,0.713,0.773,0.701,0.496,0.547,0.741,0.748,0.971,0.82,0.325,0.54,0.559,0.439,0.604,0.718,0.708,0.897,0.795,0.869,0.592,
Botswana,,,,,,,,,,,,,,,,,,,0.055,0.0623,0.084,0.0677,0.122,0.151,0.192,0.169,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.333,0.25,0.42,0.494,0.532,0.641,0.98,0.349,0.802,0.7,0.47,0.498,0.413,0.344,0.272,0.422,0.463,0.486,0.645
Bulgaria,,,,,,,,,,,,,,,,,,,0.00111,0.00498,0.00306,0.000456,,0.0096,0.00752,0.00975,0.0058,0.044,0.083,0.107,0.17,0.3,0.488,0.163,0.166,0.146,0.144,,,,,,,,
Canada,,,0.822,0.822,0.983,1.04,,0.661,0.757,0.694,0.803,0.893,0.94,0.881,0.962,0.772,0.833,0.773,1.03,0.996,1.11,1.4,1.55,1.71,2.14,1.04,0.836,1.17,1.02,1.15,1.27,1.29,1.49,0.667,1.22,1.35,1.07,1.13,1.14,1.16,1.02,1.3,1.43,1.13,
Chile,,,,,,,,,,,,,,,,,0.744,0.702,0.909,1.19,0.993,0.845,0.848,0.636,0.908,0.776,0.793,0.715,1.14,1.18,1.11,1.13,1.23,0.734,1.34,1.56,1.07,1.17,0.952,0.895,0.78,0.848,1.06,0.841,0.722
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,0.229,0.176,0.416,1.26,0.387,0.7,0.662,0.452,0.433,0.413,0.573,0.74,0.652,0.708,0.455,0.594
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347,0.348,0.494,0.362,0.605,0.728,0.601,0.707,0.53,0.385,0.293,0.367,0.389,0.311,0.408
Costa Rica,,,,,,,,,,,,,,,,,,,0.0374,,0.0536,0.0674,0.0655,0.0961,0.163,,,,0.0303,0.0841,0.0757,0.0832,0.0816,0.0622,0.048,0.0388,0.0355,,,,,0.0511,0.0515,,0.0359
Croatia,,,,,,,,,,,,,,,,,,,,,0.0398,0.126,0.177,0.115,0.107,0.127,0.135,0.302,0.177,0.263,0.285,0.575,1.17,0.386,0.425,0.428,0.362,,0.37,0.348,0.372,0.391,0.412,0.336,0.372
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805,0.72,0.287,0.396,0.266,0.104,0.0799,0.0881,0.174,0.136,0.12,0.125,0.133,0.174
Czech Republic,,,,,,,,,,,,,,,,,,,0.0429,0.128,0.154,0.213,0.175,0.157,0.163,0.158,0.121,0.125,0.156,0.226,0.256,0.285,0.364,0.174,,,,,,,,,,,
Denmark,0.101,0.108,0.096,0.0851,0.0738,0.0779,0.0998,0.0918,0.174,0.128,0.241,0.197,0.186,0.233,0.358,0.283,0.322,0.212,0.279,0.301,0.304,0.379,0.54,0.559,0.548,0.681,0.517,0.43,0.558,0.602,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,0.105,0.0797,0.0718,0.0556,0.0266,0.0408,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1.07,0.528,0.483,0.385,0.207,0.212,0.214,0.229,0.166,0.1,0.198,0.167,0.146
Finland,,,,,,,,0.0523,0.0811,,0.105,0.159,0.218,0.28,0.259,0.161,0.111,0.106,0.264,0.37,0.329,0.464,0.582,1.16,2.58,2.34,1.47,0.994,0.994,0.932,,,,,,,,,,,,,,,
